Company,P0,P1,P2,P3,P4,P5,P6
Unternehmen 2,129.00,149.96,162.42,192.81,185.79,254.71,315.02
Marktdurchschnitt,129.00,134.58,146.95,172.93,188.4,215.1,259.26
